timestamp,uA
0,2.23625
1,0.765
2,2.92125
3,1.22875
4,2.55875
5,-0.9675
6,0.605
7,-0.50375
8,1.24875
9,-0.06
10,0.4025
11,0.3225
12,1.47125
13,0.4025
14,1.6925
15,1.0475
16,2.19625
17,0.605
18,0.745
19,-0.3625
20,1.0875
21,0.4025
22,0.82625
23,-0.4225
24,1.37
25,-0.88625
26,0.20125
27,0.82625
28,1.6925
29,-1.20875
30,-0.3025
31,0.90625
32,1.55125
33,-0.16125
34,0.18125
35,0.4025
36,0.9875
37,0.3425
38,1.24875
39,-0.10125
40,-0.665
41,-0.625
42,0.18125
43,-0.22125
44,0.06
45,-0.20125
46,0.20125
47,-1.53125
48,0.12125
49,0.78625
50,0.24125
51,0.20125
52,1.14875
53,0.18125
54,1.16875
55,-0.9475
56,0.10125
57,-1.51125
58,0.605
59,0.12125
60,0.84625
61,-0.3025
62,1.6925
63,-0.90625
64,-0.78625
65,-1.39
66,0.02
67,-0.10125
68,-0.24125
69,-1.0675
70,-0.10125
71,-1.20875
72,0.3425
73,-1.24875
74,0.4025
75,-0.3825
76,0.2825
77,-0.88625
78,0.10125
79,-1.89375
80,0.12125
81,-2.075
82,-0.44375
83,-1.89375
84,1.39
85,-0.88625
86,0.10125
87,-2.74
88,-0.12125
89,-1.14875
90,-0.3625
91,-2.17625
92,-0.2625
93,-4.4325
94,-0.90625
95,-3.34375
96,-1.33
97,-4.815
98,0.48375
99,-6.145
100,1.0075
101,-5.7825
102,-0.54375
103,-7.09125
104,-0.56375
105,-7.9375
106,0.2825
107,-8.6025
108,-1.7525
109,-10.92
110,0.18125
111,-12.18875
112,-0.18125
113,-13.8
114,-0.18125
115,-14.68625
116,-0.54375
117,-16.01625
118,-0.645
119,-18.39375
120,-0.90625
121,-21.55625
122,-0.88625
123,-22.78625
124,-0.4225
125,-24.075
126,-0.685
127,-22.48375
128,-1.97375
129,-21.79875
130,-1.87375
131,-21.09375
132,-3.365
133,-19.50125
134,-3.24375
135,-19.03875
136,-2.3975
137,-20.3075
138,-2.90125
139,-20.2275
140,-3.96875
141,-18.615
142,-4.4325
143,-18.2325
144,-5.44
145,-18.9375
146,-5.60125
147,-18.8375
148,-6.105
149,-18.07125
150,-7.2725
151,-17.36625
152,-6.91
153,-17.5875
154,-8.985
155,-16.1775
156,-9.87125
157,-17.97125
158,-11.78625
159,-16.03625
160,-12.55125
161,-16.1575
162,-13.90125
163,-15.5125
164,-14.68625
165,-14.32375
166,-16.33875
167,-17.145
168,-16.64125
169,-14.7075
170,-15.29125
171,-14.30375
172,-13.98125
173,-14.405
174,-13.4575
175,-13.84125
176,-13.68
177,-14.94875
178,-14.0225
179,-14.7275
180,-14.66625
181,-13.86125
