timestamp,uA
0,45.93
1,-7.09
2,31.43
3,6.61
4,19.66
5,-1.77
6,30.14
7,-1.93
8,15.79
9,4.67
10,26.11
11,-3.38
12,15.47
13,-4.35
14,18.21
15,3.06
16,15.79
17,-0.97
18,15.79
19,-3.22
20,1.61
21,0.32
22,10.8
23,6.61
24,8.86
25,-2.74
26,0.32
27,7.25
28,2.58
29,-9.19
30,3.06
31,3.38
32,-1.61
33,-3.71
34,6.12
35,-1.45
36,11.12
37,-7.58
38,11.28
39,-6.61
40,3.22
41,-1.77
42,-6.93
43,-11.93
44,2.42
45,0.64
46,6.93
47,4.67
48,1.77
49,-1.61
50,8.54
51,-4.03
52,3.71
53,-5.48
54,12.41
55,4.67
56,3.71
57,-8.22
58,7.25
59,-4.51
60,4.35
61,-0.81
62,8.38
63,-4.35
64,8.38
65,3.22
66,-1.29
67,-0.48
68,3.22
69,0.81
70,4.84
71,3.22
72,5.0
73,-1.45
74,3.06
75,-3.71
76,-1.77
77,-8.22
78,3.06
79,-7.09
80,1.77
81,3.06
82,2.9
83,-11.12
84,1.45
85,-2.74
86,-1.93
87,0.64
88,8.38
89,-5.0
90,1.29
91,-4.67
92,-0.48
93,6.61
94,-4.67
95,-6.29
96,8.86
97,-7.09
98,11.77
99,-2.26
100,4.67
101,-0.16
102,7.58
103,4.35
104,4.51
105,-5.0
106,-0.97
107,-1.93
108,6.29
109,-9.35
110,-1.77
111,-0.48
112,-4.03
113,-4.03
114,3.22
115,-5.96
116,1.13
117,-6.12
118,5.0
119,1.61
120,-3.06
121,-1.13
122,-7.9
123,-6.77
124,-1.13
125,-2.26
126,7.58
127,-2.74
128,5.0
129,0.16
130,-1.77
131,-7.58
132,-5.64
133,-14.51
134,0.16
135,-4.03
136,-5.64
137,4.19
138,8.22
139,-3.38
140,-0.48
141,-6.12
142,-2.74
143,-6.29
144,-7.25
145,-13.7
146,-0.81
147,3.22
148,-2.74
149,2.1
150,-2.1
151,-4.51
152,4.19
153,-10.32
154,0.16
155,3.22
156,-1.93
157,-4.51
158,-4.51
159,-7.09
160,9.83
161,-0.16
162,-2.9
163,-1.13
164,-2.74
165,0.48
166,-5.16
167,-17.08
168,-0.32
169,-6.29
170,12.41
171,-4.19
172,2.74
173,-13.38
174,3.22
175,-15.79
176,0.97
177,-14.83
178,-2.1
179,-6.12
180,-0.16
181,-12.09
